p5,1377643361740,clear,undefined,undefined
p5,1377643432108,pan,geo-0-1,-1,0
p5,1377643432175,pan,geo-0-1,-2,0
p5,1377643432201,pan,geo-0-1,-3,0
p5,1377643432240,pan,geo-0-1,-5,-2
p5,1377643432254,pan,geo-0-1,-2,-1
p5,1377643432270,pan,geo-0-1,-1,0
p5,1377643432624,pan,geo-0-1,-2,0
p5,1377643432637,pan,geo-0-1,-1,0
p5,1377643432654,pan,geo-0-1,-3,0
p5,1377643432687,pan,geo-0-1,-6,0
p5,1377643432703,pan,geo-0-1,-7,0
p5,1377643432722,pan,geo-0-1,-6,-1
p5,1377643432737,pan,geo-0-1,-4,-1
p5,1377643432759,pan,geo-0-1,-1,-1
p5,1377643432940,pan,geo-0-1,-1,0
p5,1377643432970,pan,geo-0-1,-3,0
p5,1377643432988,pan,geo-0-1,-4,0
p5,1377643433004,pan,geo-0-1,-5,0
p5,1377643433020,pan,geo-0-1,-3,1
p5,1377643433037,pan,geo-0-1,-4,0
p5,1377643433054,pan,geo-0-1,-2,1
p5,1377643433071,pan,geo-0-1,-1,0
p5,1377643433530,pan,geo-0-1,-3,0
p5,1377643433557,pan,geo-0-1,-11,0
p5,1377643433574,pan,geo-0-1,-6,-2
p5,1377643433593,pan,geo-0-1,-5,-1
p5,1377643433623,pan,geo-0-1,-3,0
p5,1377643433640,pan,geo-0-1,-2,-1
p5,1377643433656,pan,geo-0-1,-2,0
p5,1377643433894,pan,geo-0-1,0,0
p5,1377643433929,pan,geo-0-1,-7,0
p5,1377643433965,pan,geo-0-1,-4,0
p5,1377643433988,pan,geo-0-1,-10,0
p5,1377643434003,pan,geo-0-1,-3,1
p5,1377643434019,pan,geo-0-1,-2,0
p5,1377643434037,pan,geo-0-1,-1,0
p5,1377643434053,pan,geo-0-1,-1,1
p5,1377643434471,pan,geo-0-1,0,0
p5,1377643435372,pan,geo-0-1,-4,1
p5,1377643435387,pan,geo-0-1,-5,1
p5,1377643435404,pan,geo-0-1,-14,0
p5,1377643435421,pan,geo-0-1,-27,-3
p5,1377643435443,pan,geo-0-1,-19,-9
p5,1377643435468,pan,geo-0-1,-10,-3
p5,1377643435485,pan,geo-0-1,-9,-4
p5,1377643435503,pan,geo-0-1,-9,-3
p5,1377643435808,pan,geo-0-1,-4,0
p5,1377643435821,pan,geo-0-1,-1,0
